District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Adalar,40.87625945,29.0910272621096,İnönü Evi Müzesi,40.87825141696279,29.093646818649535,History Museum
Adalar,40.87625945,29.0910272621096,L'isola Guesthouse,40.877038047389995,29.09613572865888,Bed & Breakfast
Adalar,40.87625945,29.0910272621096,Merit Halki Palace Hotel,40.87880172757172,29.09097430805375,Hotel
Adalar,40.87625945,29.0910272621096,Heybeliada Şafak Askeri Gazino,40.873609146908436,29.09947790629864,Restaurant
Adalar,40.87625945,29.0910272621096,Heybeliada Su Sporları Kulübü,40.88236481639743,29.089167427957218,Pool
Adalar,40.87625945,29.0910272621096,Heybeliada Çam Limanı,40.870157999754504,29.08472734200787,Harbor / Marina
Adalar,40.87625945,29.0910272621096,Farkli Bi' Yer,40.87658126400049,29.10096496962054,Café
Adalar,40.87625945,29.0910272621096,Luz Café,40.87752815998176,29.09787666427395,Café
Adalar,40.87625945,29.0910272621096,Erguvan Evyemekleri,40.87686384182305,29.100744914519215,Turkish Restaurant
Adalar,40.87625945,29.0910272621096,Heybeliada Deniz Lisesi Kolaylık Tesisleri,40.87064806098359,29.097261185900294,Restaurant
Adalar,40.87625945,29.0910272621096,Barbayani Heybeliada,40.87803922303686,29.10036184326401,Seafood Restaurant
Adalar,40.87625945,29.0910272621096,Heybeliada Sahili,40.87811952694473,29.10026956354857,Waterfront
Adalar,40.87625945,29.0910272621096,Prince's Islands,40.88003522603099,29.07909393310547,Outdoors & Recreation
Adalar,40.87625945,29.0910272621096,Değirmenburnu Piknik Alanı,40.883148906717686,29.09196467063381,Other Great Outdoors
Adalar,40.87625945,29.0910272621096,Kayıkhane,40.87763496003719,29.099838174535602,Seafood Restaurant
Adalar,40.87625945,29.0910272621096,Heyamola,40.87775684310641,29.10037059767746,Seafood Restaurant
Adalar,40.87625945,29.0910272621096,Heybeliada Değirmenburnu Restaurant,40.88328210558884,29.091676333993306,Steakhouse
Adalar,40.87625945,29.0910272621096,Heybeliada Su Sporları Klübü Havuzu,40.88202288326387,29.090129807503786,Pool
Adalar,40.87625945,29.0910272621096,Coşkun'un Ora,40.88351799491627,29.09821138926124,Hookah Bar
Adalar,40.87625945,29.0910272621096,ÇAT KAPI RESTAURANT,40.87810120159083,29.09985660425612,Diner
Adalar,40.87625945,29.0910272621096,Türk Kızılayı Heybeliada Gençlik Kampı,40.87244641533856,29.086736956577308,Campground
Adalar,40.87625945,29.0910272621096,Heybeliada Orman Yürüyüşü,40.87263983153589,29.083250293863124,Campground
Adalar,40.87625945,29.0910272621096,Koridor Cafe,40.87774893799044,29.100209022980504,Café
Adalar,40.87625945,29.0910272621096,Mavi Restaurant,40.87773484142368,29.100421518702916,Seafood Restaurant
